Transcript.ID,Gene.ID,expression,change,log_change,DMSO_4H_2,THZ1_4H_250nM,log2_fold_4h_250nM,rank
NM_001009616,SPANXN5,3.5095,3.1535,-0.356,3.504,3.6545,0.1505,24
NM_001009813,MEIS3,7.2845,7.072,-0.2125,7.62,7.6055,-0.0145,1204
NM_001010846,SHE,5.217,5.087,-0.13,5.36,5.165,-0.195,508
NM_001010912,C10orf120,3.5695,3.735,0.1655,3.498,3.234,-0.264,27
NM_001010940,C9orf135,4.239,3.7285,-0.5105,4.396,4.2175,-0.1785,138
NM_001010980,C1orf130,5.392,5.195,-0.197,5.587,5.274,-0.313,588
NM_001011705,LECT1,4.2105,4.318,0.1075,4.759,4.0305,-0.7285,126
NM_001012416,KRTAP5-6,5.32,5.1825,-0.1375,5.309,4.9215,-0.3875,558
NM_001012478,U2AF2,5.101,4.887,-0.214,5.351,4.194,-1.157,451
NM_001012509,SLC45A2,4.7765,4.2425,-0.534,4.85,4.2875,-0.5625,303
NM_001012512,GRP,4.527,4.2635,-0.2635,3.559,3.7285,0.1695,207
NM_001012614,CTBP1,11.17,10.702,-0.468,11.069,10.766,-0.303,1919
NM_001012662,SLC3A2,10.4395,9.9545,-0.485,9.908,8.681,-1.227,1857
NM_001012722,RGR,4.8375,4.84,0.0025,4.813,4.725,-0.088,329
NM_001012754,NHLRC3,8.1765,7.404,-0.7725,8.32,7.0865,-1.2335,1424
NM_001012756,ZNF260,6.0505,6.0175,-0.033,8.279,6.3935,-1.8855,830
NM_001013,RPS9,12.685,12.79,0.105,13.327,12.788,-0.539,1980
NM_001013254,LSP1,7.2935,6.911,-0.3825,6.669,6.6145,-0.0545,1206
NM_001013355,OR2G6,5.647,5.218,-0.429,6.424,5.646,-0.778,675
NM_001013627,NHSL2,4.809,4.695,-0.114,4.938,4.2935,-0.6445,319
NM_001013642,TRNP1,6.0785,5.3115,-0.767,6.315,5.331,-0.984,837
NM_001013661,VSIG8,4.9845,5.0505,0.066,5.678,4.933,-0.745,387
NM_001013742,DGKK,4.384,4.3585,-0.0255,4.585,4.6285,0.0435,170
NM_001013842,C8orf58,6.4815,6.1155,-0.366,6.699,6.3265,-0.3725,980
NM_001014443,USP21,7.2565,6.7555,-0.501,7.621,5.919,-1.702,1201
NM_001017370,NHLRC3,6.8115,6.305,-0.5065,7.017,5.9105,-1.1065,1092
NM_001017922,ERMAP,7.2055,5.3825,-1.823,6.847,5.3985,-1.4485,1187
NM_001018,RPS15,13.5175,13.443,-0.0745,13.884,13.6925,-0.1915,1994
NM_001018036,TSHR,5.6875,5.6565,-0.031,8.203,8.044,-0.159,693
NM_001018039,SFMBT2,5.931,5.536,-0.395,5.693,5.6935,5.00E-04,785
NM_001018052,POLR3H,8.6515,7.833,-0.8185,9.299,7.6315,-1.6675,1540
NM_001018058,TFEC,3.3955,3.2915,-0.104,3.51,3.366,-0.144,13
NM_001018069,SERBP1,11.7455,11.5865,-0.159,12.828,11.9955,-0.8325,1952
NM_001018070,CORO1B,9.9545,9.734,-0.2205,9.274,9.1065,-0.1675,1775
NM_001023561,ZNF749,4.511,4.52,0.009,4.511,3.8915,-0.6195,199
NM_001024210,S100A13,6.1495,5.7235,-0.426,6.229,5.5845,-0.6445,867
NM_001024662,RPL6,12.8605,12.801,-0.0595,13.948,13.6365,-0.3115,1983
NM_001024807,APLP1,6.9805,6.653,-0.3275,6.52,6.3775,-0.1425,1137
NM_001024938,SLC2A11,6.724,6.8195,0.0955,6.764,6.5345,-0.2295,1068
NM_001025081,MBP,7.5495,5.3145,-2.235,7.65,5.1815,-2.4685,1267
NM_001025159,CD74,5.6625,5.5745,-0.088,5.957,5.6625,-0.2945,683
NM_001025248,DUT,12.0025,11.6545,-0.348,12.152,11.5245,-0.6275,1963
NM_001025265,CXorf65,7.217,5.941,-1.276,6.925,6.204,-0.721,1189
NM_001025369,VEGFA,7.6025,8.1525,0.55,7.755,7.1825,-0.5725,1280
NM_001025370,VEGFA,7.6025,8.1525,0.55,7.755,7.1825,-0.5725,1281
NM_001025604,ARRDC2,8.591,7.855,-0.736,8.03,6.1255,-1.9045,1531
NM_001025780,FAM108B1,10.299,9.995,-0.304,10.419,7.31,-3.109,1824
NM_001025930,TTLL3,8.5655,7.2795,-1.286,8.299,7.4425,-0.8565,1524
NM_001029888,FAM24A,5.2795,5.08,-0.1995,5.313,5.3695,0.0565,540
NM_001029939,ZFAT,5.767,5.5935,-0.1735,6.019,5.6075,-0.4115,720
NM_001029991,METTL17,11.0155,10.7295,-0.286,11.144,10.372,-0.772,1906
NM_001030004,HNF4A,5.5355,5.3565,-0.179,5.89,5.611,-0.279,635
NM_001031628,SMAGP,7.9685,7.56,-0.4085,7.572,6.6215,-0.9505,1382
NM_001031698,PRPF40B,6.7495,5.9325,-0.817,6.547,5.9755,-0.5715,1076
NM_001031709,RNLS,4.525,4.6415,0.1165,4.935,4.702,-0.233,205
NM_001031836,KCNU1,3.9725,4.23,0.2575,4.45,4.1825,-0.2675,83
NM_001032,RPS29,13.47,13.4005,-0.0695,14.145,13.6385,-0.5065,1993
NM_001032289,SLC35A2,7.709,7.0045,-0.7045,7.877,6.432,-1.445,1310
NM_001032293,ZNF207,11.2315,11.3105,0.079,12.357,10.9445,-1.4125,1924
NM_001032372,ZNF226,6.7425,5.879,-0.8635,8.145,5.7475,-2.3975,1073
NM_001032395,GPR126,4.336,4.668,0.332,4.528,4.149,-0.379,158
NM_001032396,PJA1,9.4195,9.0555,-0.364,8.41,6.2345,-2.1755,1685
NM_001032998,KYNU,4.2975,4.0195,-0.278,4.616,4.4145,-0.2015,155
NM_001033053,NLRP1,7.159,5.9795,-1.1795,6.221,5.663,-0.558,1183
NM_001033080,TAAR2,4.5925,4.628,0.0355,4.859,4.57,-0.289,221
NM_001033082,MYCL1,5.3515,4.9905,-0.361,5.192,5.3985,0.2065,572
NM_001033113,ENTPD8,6.307,6.146,-0.161,6.23,5.6695,-0.5605,930
NM_001033506,CSTF3,8.241,8.6645,0.4235,9.424,8.56,-0.864,1441
NM_001033518,WIPI2,10.381,10.4545,0.0735,10.366,9.6475,-0.7185,1838
NM_001033522,CSTF1,7.8205,6.495,-1.3255,8.84,5.457,-3.383,1344
NM_001033605,BBS9,6.1415,5.954,-0.1875,7.068,6.627,-0.441,864
NM_001033667,LY9,8.0035,7.82,-0.1835,6.865,6.749,-0.116,1387
NM_001033719,ZNF404,3.9465,3.624,-0.3225,3.016,3.4015,0.3855,76
NM_001034837,KCNIP1,5.261,4.972,-0.289,5.398,5.0175,-0.3805,532
NM_001035006,RPL17,13.358,13.2965,-0.0615,14.027,13.799,-0.228,1991
NM_001035512,SDHC,10.4355,10.0425,-0.393,11.027,10.038,-0.989,1854
NM_001036,RYR3,4.0975,4.0055,-0.092,3.915,4.054,0.139,109
NM_001037125,UNKL,6.7725,7.114,0.3415,6.96,6.556,-0.404,1083
NM_001037144,CNTROB,7.7075,7.175,-0.5325,8.145,7.509,-0.636,1307
NM_001037175,SUSD4,7.0105,6.457,-0.5535,7.062,6.6365,-0.4255,1146
NM_001037317,LPPR5,3.981,4.0095,0.0285,3.882,3.677,-0.205,85
NM_001037639,PARL,10.0475,9.9725,-0.075,10.541,10.0135,-0.5275,1788
NM_001037730,DEFB115,6.135,5.894,-0.241,5.999,5.666,-0.333,862
NM_001037967,ALAS2,5.71,5.652,-0.058,6.229,5.72,-0.509,702
NM_001038707,CDC42SE1,7.924,6.367,-1.557,7.323,5.8785,-1.4445,1367
NM_001039091,PRPS2,10.3395,9.702,-0.6375,11.427,10.33,-1.097,1833
NM_001039165,MRGPRE,7.316,6.9185,-0.3975,7.726,7.33,-0.396,1214
NM_001039538,MAP2,5.298,4.9555,-0.3425,5.408,4.946,-0.462,548
NM_001039582,PNCK,5.05,5.1115,0.0615,4.873,4.878,0.005,426
NM_001039584,PICK1,3.853,3.814,-0.039,4.353,3.858,-0.495,58
NM_001039654,ZNF550,4.7735,4.519,-0.2545,4.628,4.638,0.01,300
NM_001039717,C4orf29,7.0355,6.5135,-0.522,7.673,5.8295,-1.8435,1152
NM_001039848,GPX4,11.527,11.5085,-0.0185,11.59,11.137,-0.453,1941
NM_001039938,INTS6,7.4305,5.2255,-2.205,9.497,6.3225,-3.1745,1232
NM_001040092,ENPP2,4.414,4.559,0.145,4.338,4.199,-0.139,177
NM_001040097,MOSPD3,6.1575,5.759,-0.3985,6.348,5.649,-0.699,871
NM_001040100,SPTSSB,3.491,3.4175,-0.0735,3.853,3.8565,0.0035,23
NM_001040110,NRF1,7.4595,6.786,-0.6735,7.222,4.526,-2.696,1238
NM_001040428,SPATA7,5.132,5.135,0.003,4.865,5.143,0.278,471
NM_001040433,SPINK9,3.664,3.743,0.079,3.906,3.331,-0.575,34
NM_001040451,RUFY1,7.7805,7.2005,-0.58,8.392,7.418,-0.974,1330
NM_001040647,CRCP,8.935,8.4725,-0.4625,9.218,7.8415,-1.3765,1607
NM_001040661,SLC29A4,6.134,5.8555,-0.2785,5.837,5.491,-0.346,860
NM_001042478,AJAP1,4.7185,4.725,0.0065,4.478,4.965,0.487,282
NM_001042522,SPRED3,6.5385,6.1385,-0.4,6.536,6.237,-0.299,1001
NM_001042536,INSC,4.886,4.7095,-0.1765,5.147,4.8935,-0.2535,351
NM_001042550,SMC2,6.934,6.892,-0.042,10.086,10.0375,-0.0485,1127
NM_001042599,ERBB4,4.6235,4.2965,-0.327,4.721,4.3775,-0.3435,239
NM_001042625,CAPSL,4.965,5.022,0.057,5.832,5.604,-0.228,380
NM_001042631,SDHAF1,8.5635,7.289,-1.2745,8.203,5.7605,-2.4425,1521
NM_001044723,CSNK1G3,5.7525,6.2135,0.461,7.379,6.602,-0.777,712
NM_001048,SST,3.956,3.9925,0.0365,3.846,3.8805,0.0345,77
NM_001048195,RCC1,9.655,8.6225,-1.0325,10.456,8.66,-1.796,1724
NM_001048212,CEMP1,6.5615,6.189,-0.3725,6.88,6.416,-0.464,1010
NM_001053,SSTR5,5.236,4.954,-0.282,5.409,4.923,-0.486,519
NM_001075098,MOCS1,7.1415,6.785,-0.3565,7.903,6.69,-1.213,1180
NM_001076675,ZNF626,4.864,4.608,-0.256,5.083,4.796,-0.287,341
NM_001076677,CLTA,11.779,11.48,-0.299,12.067,10.868,-1.199,1955
NM_001077261,NCOR2,6.368,6.0615,-0.3065,6.594,6.2365,-0.3575,954
